ICOM1;ICOM2;ICOM3;Total ICOM;IACC1;IACC2;IACC3;IACC4;Total IACC;ICUR1;ICUR2;ICUR3;Total ICUR;ST1;ST2;ST3;ST4;Total ST;SA1;SA2;SA3;Total SA;BC1;BC2;BC3;Total BC;COIN1;COIN2;COIN3;COIN4;Total COIN;PESU1;PESU2;PESU3;PESU4;Total PESU;PUCH1;PUCH2;PUCH3;Total PUCH;RESP1;RESP2;RESP3;Total RESP;MIND1;MIND2;MIND3;MIND4;MIND5;MIND6;Total MIND;SE1;SE2;SE3;SE4;SE5;Total SE
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
5;5;5;15;4;5;5;4;18;5;5;5;15;5;5;5;5;20;4;4;4;12;4;4;4;12;4;4;4;4;16;5;5;5;5;20;5;5;5;15;4;5;4;13;5;5;5;5;5;5;30;5;5;5;5;5;25
6;7;7;20;5;7;6;6;24;7;7;7;21;7;7;7;6;27;7;6;6;19;4;3;4;11;6;6;6;6;24;7;7;7;7;28;7;7;7;21;6;7;6;19;7;7;7;7;7;7;42;6;6;6;6;7;31
6;5;6;17;3;7;6;6;22;6;6;6;18;7;7;5;5;24;4;3;5;12;6;2;6;14;6;5;4;6;21;5;7;6;6;24;6;7;3;16;1;5;1;7;6;6;7;7;7;7;40;3;5;6;5;5;24
6;6;6;18;4;6;5;5;20;6;6;6;18;6;6;6;6;24;6;6;6;18;6;6;6;18;4;6;6;6;22;6;6;6;6;24;6;6;6;18;6;5;5;16;6;6;6;6;6;6;36;6;6;6;6;6;30
5;5;4;14;4;4;3;3;14;5;5;5;15;5;5;3;4;17;4;4;4;12;3;3;3;9;4;4;4;5;17;4;5;4;4;17;4;5;4;13;2;3;4;9;5;5;6;6;6;6;34;3;3;3;3;3;15
6;6;5;17;6;6;6;5;23;6;6;6;18;6;6;5;6;23;6;6;6;18;6;6;6;18;6;6;6;6;24;6;6;6;6;24;6;6;5;17;1;6;1;8;6;6;7;7;6;6;38;6;6;6;6;6;30
1;2;2;5;5;5;4;6;20;6;6;4;16;5;6;5;4;20;4;5;6;15;5;4;6;15;6;5;6;5;22;5;6;6;6;23;6;5;5;16;6;5;6;17;4;5;6;6;7;6;34;5;4;6;4;5;24
6;6;6;18;4;7;6;4;21;7;5;4;16;7;7;5;5;24;5;5;5;15;5;5;5;15;6;4;4;5;19;5;7;7;7;26;5;4;4;13;4;5;4;13;6;5;5;5;7;7;35;7;7;7;6;6;33
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;7;7;28;7;7;7;21;7;7;7;21;7;7;7;7;7;7;42;7;7;7;7;7;35
6;6;6;18;7;6;6;6;25;7;7;7;21;6;6;7;7;26;7;6;6;19;6;6;6;18;7;6;6;5;24;6;6;7;6;25;6;6;7;19;6;6;7;19;7;6;6;6;7;7;39;7;6;6;6;7;32
6;7;6;19;4;6;6;5;21;6;6;7;19;6;6;7;5;24;6;6;5;17;5;6;6;17;5;6;6;5;22;6;6;7;7;26;5;6;6;17;3;5;3;11;7;5;6;6;6;6;36;5;6;5;5;6;27
